Job Title,Company Name,Exp,Number of opening,Location,Link
PL/SQL & Python Developer,Bnp Paribas,2 to 5 ,1,Mumbai City,https://www.shine.com/jobs/plsql-python-developer-permanent/bnp-paribas/12503571
Senior Data Analyst II,AXA XL,2 to 3 ,1,Gurugram,https://www.shine.com/jobs/senior-data-analyst-ii-permanent/axa-xl/12499647
Python Developer hiring,Squircle IT Consulting Services Pvt...,6 to 11 ,1,Mumbai City,https://www.shine.com/jobs/python-developer-hiring-permanent/squircle-it-consulting-services-pvt-ltd/12503360
Data Science Manager,ARTAKAIN HR SOLUTIONS,5 to 10 ,1,Bangalore,https://www.shine.com/jobs/data-science-manager-permanent/artakain-hr-solutions/12511768
Recruitment of Senior Data Analyst II,AXA XL,2 to 3 ,1,Bangalore,https://www.shine.com/jobs/recruitment-of-senior-data-analyst-ii-permanent/axa-xl/12499231
Vacant of Python Developer,VEGA Intellisoft Private Limited,3 to 6 ,1,Mumbai City,https://www.shine.com/jobs/vacant-of-python-developer-permanent/vega-intellisoft-private-limited/12503188
Vacancy for Senior AI Data Scientist-Reputed IT Industr ...,Seven Consultancy,3 to 4 ,1,Chennai,https://www.shine.com/jobs/vacancy-for-senior-ai-data-scientist-reputed-it-industry-chennai-permanent/seven-consultancy/12497944
Vacant of Python Developers,Squircle IT Consulting Services Pvt...,5 to 9 ,1,Hyderabad,https://www.shine.com/jobs/vacant-of-python-developers-permanent/squircle-it-consulting-services-pvt-ltd/12503165
Req.  For  Data Scientist-Reputed IT Industry-Mumbai,Seven Consultancy,2 to 5 ,1,Mumbai City,https://www.shine.com/jobs/req-jobs-for-data-scientist-reputed-it-industry-mumbai-permanent/seven-consultancy/12493030
Post vacant for- Chief Data Scientist-Reputed IT Indust ...,Seven Consultancy,10 to 15 ,1,Bangalore,https://www.shine.com/jobs/post-vacant-for-chief-data-scientist-reputed-it-industry-permanent/seven-consultancy/12492720
Require  For Senior Data Engineer Manager -Reputed IT I ...,Seven Consultancy,4 to 8 ,1,Delhi,https://www.shine.com/jobs/require-for-senior-data-engineer-manager-reputed-it-industry-permanent/seven-consultancy/12500318
"-Data Scientist-reputed IT company-Hyderabad, Telangana ...",Seven Consultancy,2 to 4 ,1,Hyderabad,https://www.shine.com/jobs/job-data-scientist-reputed-it-company-hyderabad-telangana-india-upto-7-lpa-chitra-permanent/seven-consultancy/12490916
Data Scientist,QUISCON BIOTECH,"0 to 1 YrBangalore+6Noida, Chennai, Hyderabad, Pune, Mumbai City, Delhi",10,Not Defined,https://www.shine.com/jobs/data-scientist-permanent/quiscon-biotech/12484543
Associate - Python Data Engineer - GDC,PricewaterhouseCoopers (PWC),4 to 7 ,1,Kolkata,https://www.shine.com/jobs/associate-python-data-engineer-gdc-permanent/pricewaterhousecoopers-pwc/12499787
Data Scientist,Acuity Knowledge Partners,4 to 6 ,1,Bangalore,https://www.shine.com/jobs/data-scientist-permanent/acuity-knowledge-partners/12482378
 for AI Data Scientist-Reputed IT Industry,Seven Consultancy,4 to 8 ,1,Mumbai City,https://www.shine.com/jobs/jobs-for-ai-data-scientist-reputed-it-industry-permanent/seven-consultancy/12495438
Data Domain Architect Analyst,JPMorgan,2 to 5 ,1,Bangalore,https://www.shine.com/jobs/data-domain-architect-analyst-permanent/jpmorgan/12515949
