Job Title,Company Name,Exp,Number of opening,Location,Link,Job Category
Python Developer,Bosch Group,3,1,Pune,https://www.shine.com/jobs/python-developer-permanent/bosch-group/12500174,Python Developer
Big Data Engineer,Axycube Solutions Pvt. Ltd.,6,6,Bangalore+1Chennai,https://www.shine.com/jobs/big-data-engineer-permanent/axycube-solutions-pvt-ltd/12506525,Data Engineer
Data Engineer,Talent Corner HR Services Pvt Ltd,5,3,Pune,https://www.shine.com/jobs/data-engineer-permanent/talent-corner-hr-services-pvt-ltd/12494449,Data Engineer
Data Engineer -Reputed IT Industry,Seven Consultancy,4,1,Chennai,https://www.shine.com/jobs/data-engineer-reputed-it-industry-permanent/seven-consultancy/12501167,Data Engineer
Require for Data Analyst -Reputed IT Industry -Delhi NC ...,Seven Consultancy,1,1,Delhi,https://www.shine.com/jobs/require-for-data-analyst-reputed-it-industry-delhi-ncr-india-permanent/seven-consultancy/12500136,Data Analyst
Hire now Python developer,Squircle IT Consulting Services Pvt...,4,1,Mumbai City,https://www.shine.com/jobs/hire-now-python-developer-permanent/squircle-it-consulting-services-pvt-ltd/12490196,Python Developer
LTI Mindtree is Hiring - Python Developers,LTIMindtree Limited,7,2,"Bangalore+6Noida, Chennai, Hyderabad, Kolkata, Pune, Mumbai City",https://www.shine.com/jobs/lti-mindtree-is-hiring-python-developers-permanent/ltimindtree-limited/12492736,Python Developer
Reference Data analyst - Operations Analyst,JPMorgan,2,1,Mumbai City,https://www.shine.com/jobs/reference-data-analyst-operations-analyst-permanent/jpmorgan/12513181,Data Analyst
Digital Analytics Engineer / Data Engineer,PFIZER LIMITED,2,1,"China+2Japan, Singapore",https://www.shine.com/jobs/digital-analytics-engineer-data-engineer-permanent/pfizer-limited/12484014,Data Analyst
Join now Python Developer,Seven Consultancy,1,1,Mumbai City,https://www.shine.com/jobs/join-now-python-developer-permanent/seven-consultancy/12495561,Python Developer
Vacancy for Senior Data Scientist-Reputed IT Industry-M ...,Seven Consultancy,4,1,Mumbai City,https://www.shine.com/jobs/vacancy-for-senior-data-scientist-reputed-it-industry-mumbai-permanent/seven-consultancy/12498219,Data Scientist
Python Developer (CPA-0014-N1C),MyCityNagpur,2,1,Nagpur,https://www.shine.com/jobs/python-developer-cpa-n1c-permanent/mycitynagpur/12491357,Python Developer
Data Analyst,Phoenix Global Re Settlement Servic...,5,15,Bangalore,https://www.shine.com/jobs/data-analyst-permanent/phoenix-global-re-settlement-services-private-limited/12501042,Data Analyst
Senior AI Data Scientist-Reputed IT Industry,Seven Consultancy,5,1,Delhi,https://www.shine.com/jobs/senior-ai-data-scientist-reputed-it-industry-permanent/seven-consultancy/12492884,Data Scientist
Post vacant for- AI Data Scientist-Reputed IT Industry,Seven Consultancy,4,1,Chennai,https://www.shine.com/jobs/post-vacant-for-ai-data-scientist-reputed-it-industry-permanent/seven-consultancy/12491983,Data Scientist
Walk-In Interviews For - Technical Content Engineer & J ...,Technosoft Engineering Projects Ltd,0,1,Pune,https://www.shine.com/jobs/walk-in-interviews-for-technical-content-engineer-jr-data-analyst-permanent/technosoft-engineering-projects-ltd/12493419,Data Engineer
Hire now Python Developer,Squircle IT Consulting Services Pvt...,3,1,Hyderabad,https://www.shine.com/jobs/hire-now-python-developer-permanent/squircle-it-consulting-services-pvt-ltd/12490536,Python Developer
Data Engineer (Python AWS),Barclays Shared Services Pvt. Ltd,2,1,United Kingdom+1Pune,https://www.shine.com/jobs/data-engineer-python-aws-permanent/barclays-shared-services-pvt-ltd/12478917,Data Engineer
"DATA ENGINEER AWS, PYTHON, TERRAFORM",Augusta Infotech,6,1,Gurugram,https://www.shine.com/jobs/data-engineer-aws-python-terraform-permanent/augusta-infotech/12499122,Data Engineer
-Senior Data Engineer-reputed IT company,Seven Consultancy,5,1,Hyderabad,https://www.shine.com/jobs/job-senior-data-engineer-reputed-it-company-permanent/seven-consultancy/12500191,Data Engineer
Full Stack Python Developer,Talent Corner HR Services Pvt Ltd,2,1,Navi Mumbai,https://www.shine.com/jobs/full-stack-python-developer-permanent/talent-corner-hr-services-pvt-ltd/12494328,Python Developer
Python Developer,Mercede,1,1,Bangalore,https://www.shine.com/jobs/python-developer-permanent/mercede/12492070,Python Developer
Azure Data Engineer with Databricks,VEGA Intellisoft Private Limited,4,1,"Bangalore+7Chennai, Kochi, Noida, Hyderabad, Kolkata, Thiruvanananthapuram, Mumbai City",https://www.shine.com/jobs/azure-data-engineer-with-databricks-permanent/vega-intellisoft-private-limited/12486313,Data Engineer
Looking for Python Developer,MyCityJaipur,1,1,Jaipur,https://www.shine.com/jobs/looking-for-python-developer-permanent/mycityjaipur/12498871,Python Developer
Senior Big Data Engineer,Ara Resources Private Limited,7,1,"Chennai+2Pune, Nagpur",https://www.shine.com/jobs/senior-big-data-engineer-permanent/ara-resources-private-limited/12516554,Data Engineer
Data Scientist,RACE,3,1,Jaipur,https://www.shine.com/jobs/data-scientist-permanent/race/12490059,Data Scientist
Data Scientist and Data Engineer,Squircle IT Consulting Services Pvt...,3,1,Chennai,https://www.shine.com/jobs/data-scientist-and-data-engineer-permanent/squircle-it-consulting-services-pvt-ltd/12453976,Data Scientist
Req. for Python developer,GlobalLogic Technologies Pvt Ltd,5,1,Noida,https://www.shine.com/jobs/req-for-python-developer-permanent/globallogic-technologies-pvt-ltd/12499454,Python Developer
Urgent Requirement for Senior Data Engineer - SQL/Pytho ...,Huquo,4,1,Hyderabad,https://www.shine.com/jobs/urgent-requirement-for-senior-data-engineer-sqlpython-permanent/huquo/12495509,Data Engineer
vacant for  Data Engineer (6-8 Years),GlobalLogic Technologies Pvt Ltd,5,1,Noida,https://www.shine.com/jobs/vacant-for-data-engineer-6-8-years-permanent/globallogic-technologies-pvt-ltd/12501452,Data Engineer
Urgent Requirement for Senior Data Engineer - ETL/Spark ...,Huquo,4,1,Hyderabad,https://www.shine.com/jobs/urgent-requirement-for-senior-data-engineer-etlsparkpython-permanent/huquo/12495517,Data Engineer
